date,scent_mean,scent_daily,scent_max,scent_min,scent_std,scent_range,scent_load_factor,scent_peak_ratio
2021-08-04,8605.697916666668,206536.75000000003,11007.69,6316.01,1679.9357916922047,4691.68,0.7817896322177194,1.2791164768497614
2021-08-05,7998.771250000001,191970.51,9520.95,6558.75,956.5770045064555,2962.2000000000007,0.8401232282492819,1.19030157288221
2021-08-06,8587.825,206107.80000000002,10985.16,6271.86,1749.6239074602638,4713.3,0.7817660370900379,1.2791550829226257
2021-08-07,8642.990833333333,207431.78,11008.87,6393.53,1703.4410162065865,4615.340000000001,0.7850933686503095,1.2737338511967646
2021-08-08,8882.991666666667,213191.8,11308.19,6713.33,1711.9770193898166,4594.860000000001,0.7855361173332485,1.2730159415136981
2021-08-09,9315.776666666668,223578.64000000004,11597.25,7045.44,1700.8186770536395,4551.81,0.8032746268871214,1.2449042538231736
2021-08-10,9335.637916666668,224055.31000000006,11793.24,6982.63,1754.540967730106,4810.61,0.7916092538324216,1.2632495074542083
2021-08-11,9265.669166666668,222376.06000000003,12029.64,6716.55,1948.2488993517645,5313.089999999999,0.7702366127886344,1.2983023442361554
2021-08-12,9446.746250000002,226721.91000000003,11865.33,7097.87,1750.898943787131,4767.46,0.7961638024395447,1.256022940173713
2021-08-13,9358.769583333333,224610.46999999997,11991.05,6893.88,1839.9656746147978,5097.169999999999,0.7804795729592766,1.2812635136732495
2021-08-14,8977.374583333332,215456.99,11627.47,6548.28,1848.0993063332348,5079.19,0.7720832290544145,1.2951971528053001
2021-08-15,8033.247916666668,192797.95000000004,9998.71,6424.05,1141.0223983396918,3574.659999999999,0.8034284339346445,1.2446659313545603
2021-08-16,8561.870416666667,205484.88999999998,11448.06,5762.93,2143.1775616034915,5685.129999999999,0.7478883248923107,1.3370980221465432
2021-08-17,8979.761666666667,215514.28,11450.13,6703.39,1681.9624224946458,4746.739999999999,0.7842497566985412,1.2751039977490122
2021-08-18,9307.941666666668,223390.60000000003,11758.54,7112.01,1696.0718632761707,4646.530000000001,0.7915899139405629,1.263280370794474
2021-08-19,9695.44375,232690.65,12273.63,7448.03,1746.2183270759015,4825.599999999999,0.7899410158200957,1.2659173026505361
2021-08-20,9433.098333333333,226394.36,11895.47,7133.64,1714.7862222158915,4761.829999999999,0.7929992117447511,1.261035301409452
2021-08-21,9168.3175,220039.62,11700.07,6801.17,1799.7454043866508,4898.9,0.7836121920638082,1.2761414512531881
2021-08-22,9051.3725,217232.94,11867.69,6546.62,1954.4943575485531,5321.070000000001,0.7626903382208331,1.3111481159349039
2021-08-23,9322.419166666665,223738.05999999997,11884.41,6738.0,1889.8668384765072,5146.41,0.7844242302871295,1.2748203859459586
2021-08-24,9554.211666666668,229301.08000000002,12176.59,6941.02,1933.675793406381,5235.57,0.7846377078202246,1.2744735436919876
2021-08-25,9587.921666666667,230110.12000000002,12268.94,7002.36,1907.2202473293926,5266.580000000001,0.7814792204270838,1.2796245554085148
2021-08-26,9521.270416666668,228510.49000000002,12299.29,6935.12,1921.6880363016876,5364.170000000001,0.774131711396891,1.291769843913949
2021-08-27,8623.654166666665,206967.69999999998,10520.69,6760.51,1244.0905498671873,3760.1800000000003,0.8196852266026909,1.2199805090359512
2021-08-28,8185.411666666668,196449.88000000003,10331.04,6146.51,1561.6675317907059,4184.530000000001,0.7923124551513369,1.2621283352272854
2021-08-29,8423.372083333334,202160.93000000002,11290.79,6057.99,1941.287536671114,5232.800000000001,0.7460392127861144,1.3404121162283928
2021-08-30,8924.711666666668,214193.08000000002,10914.35,6589.08,1649.1935589215736,4325.27,0.8177043677971356,1.222935867022408
