date,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2021-03-05,35512.90958333333,852309.8299999998,38368.78,29859.97,3171.967065622761,8508.809999999998,0.9255678596852266,1.0804178100351138
2021-03-06,33940.34999999999,814568.3999999998,36038.91,30723.98,1743.5105793147943,5314.930000000004,0.941769604019655,1.0618308296761823
2021-03-07,34746.82041666667,833923.6900000001,37168.27,32395.69,1558.4794584674623,4772.579999999998,0.9348517005678949,1.0696883788011824
2021-03-08,36671.87083333334,880124.9000000003,40680.08,31822.24,2743.2868109764854,8857.84,0.9014699782629075,1.109299282408667
2021-03-09,36003.19625,864076.7100000001,40053.06,30166.84,3352.5123489806765,9886.219999999998,0.8988875319388832,1.1124862282192514
2021-03-10,36716.405000000006,881193.7200000001,41185.45,30127.62,3918.7754198518173,11057.829999999998,0.8914897129933025,1.121717935075615
2021-03-11,37518.26708333333,900438.41,41956.94,30796.73,3998.848289604612,11160.210000000003,0.8942088503912184,1.1183069811515483
2021-03-12,38525.24666666667,924605.9200000002,43829.02,31174.97,4518.763690473857,12654.049999999996,0.878989461016164,1.1376700681302145
2021-03-13,36659.97833333333,879839.48,40692.38,30924.94,3634.5101931893246,9767.439999999999,0.9009052390971807,1.1099946549341022
2021-03-14,34497.66173913043,793446.22,37163.65,30635.24,2280.722929048539,6528.41,0.9282635515922261,1.0772802597761448
2021-03-15,36521.542083333334,876517.01,41013.36,30132.42,3799.433891953057,10880.940000000002,0.8904791532157651,1.122990916057636
2021-03-16,38120.10041666666,914882.4099999999,43477.36,30911.72,4520.015364726173,12565.64,0.8767804764748057,1.1405363449932326
2021-03-17,37534.168333333335,900820.04,40505.64,33093.78,2494.0105707555817,7411.860000000001,0.926640545201442,1.0791671108915384
2021-03-18,36744.34916666666,881864.3799999999,40295.99,31778.74,2750.290322518408,8517.249999999996,0.9118611843676421,1.0966581505423771
2021-03-19,36629.64916666667,879111.5800000001,40914.94,32343.13,2507.486360772506,8571.810000000001,0.8952634212995709,1.1169896772375583
2021-03-20,35316.96375,847607.1300000001,38238.3,32324.59,1710.9050660797934,5913.710000000003,0.9236018272255827,1.0827176500981062
2021-03-21,35080.964166666665,841943.1399999999,38533.38,31634.43,2060.748082789601,6898.949999999997,0.9104045418976137,1.0984127978048495
2021-03-22,36862.041666666664,884689.0,40316.31,30284.42,3713.3466413157566,10031.89,0.9143208211928787,1.0937080036035263
2021-03-23,37765.07458333332,906361.7899999997,42442.46,31321.5,3687.9333774810725,11120.96,0.8897946674941396,1.1238547909218464
2021-03-24,37183.04208333334,892393.0100000001,40946.97,30912.99,3459.677616658598,10033.98,0.9080779868042334,1.101227003111555
2021-03-25,37004.05541666666,888097.33,41109.7,30649.84,3592.5611989328836,10459.859999999997,0.9001295416085903,1.1109512062152016
2021-03-26,37746.214583333334,905909.15,43626.32,30777.32,4182.656362334077,12849.0,0.8652165615466383,1.1557800028843952
2021-03-27,38537.10999999999,924890.6399999999,45366.85,31402.77,5036.74792598316,13964.079999999998,0.8494552740602443,1.1772250176518169
2021-03-28,34855.87916666667,836541.1000000002,38414.14,31279.64,2143.298499742693,7134.5,0.9073710661404023,1.102084954343546
2021-03-29,36750.07874999999,882001.8899999999,40387.31,30424.05,3542.014214085726,9963.259999999998,0.9099412352543409,1.0989720668285645
2021-03-30,38566.21083333332,925589.0599999998,44642.96,30755.55,4924.033349388105,13887.41,0.8638811322845377,1.157566663547212
