date,ercot_mean,ercot_daily,ercot_max,ercot_min,ercot_std,ercot_range,ercot_load_factor,ercot_peak_ratio
2022-06-12,60869.44291666666,1.46086663e6,74921.69,45882.19,10657.138356369194,29039.5,0.8124408688147139,1.2308588087880412
2022-06-13,61974.24583333333,1.4873819e6,74506.2,49007.78,9582.467966624354,25498.42,0.8317998479768574,1.2022122899303804
2022-06-14,60699.57125000001,1.4567897100000002e6,73550.51,48782.56,8910.617888329636,24767.949999999997,0.8252773672133614,1.211713830680476
2022-06-15,60347.94125000001,1.4483505900000003e6,72647.77,48463.62,8845.411893049322,24184.15,0.8306922738302911,1.2038152171429708
2022-06-16,61031.638749999984,1.4647593299999996e6,75192.19,47316.95,10440.982214704545,27875.240000000005,0.8116752384788897,1.2320198431506155
2022-06-17,60176.51208333333,1.4442362899999998e6,75024.8,45627.59,10879.092291318912,29397.210000000006,0.802088270589636,1.2467455723606005
2022-06-18,58190.61041666667,1.3965746500000001e6,72519.56,43711.18,10446.506159118455,28808.379999999997,0.8024126238033804,1.246241609784339
2022-06-19,58674.488333333335,1.40818772e6,73810.64,43321.41,10972.907379910033,30489.229999999996,0.7949326592119149,1.2579681919112318
2022-06-20,61438.40875,1.47452181e6,76641.58,45404.11,11944.05815676103,31237.47,0.8016328571253359,1.2474538576001124
2022-06-21,62044.04333333333,1.4890570399999998e6,76104.68,47990.62,10339.849026178394,28114.05999999999,0.8152460969986778,1.2266234744103557
2022-06-22,61197.86375,1.46874873e6,76018.26,46333.64,10859.831303149202,29684.619999999995,0.8050416274984458,1.2421717906779057
2022-06-23,62188.66874999999,1.4925280499999998e6,76680.59,46335.66,11562.7678313675,30344.929999999993,0.8110092625787046,1.2330315400102532
2022-06-24,62602.08416666667,1.50245002e6,76461.37,47921.54,10850.41229864558,28539.829999999994,0.8187413352215199,1.2213869716611272
2022-06-25,60338.92999999999,1.4481343199999998e6,75122.06,45704.89,10441.164628325298,29417.17,0.8032118661282717,1.245001527206399
2022-06-26,59515.390833333346,1.4283693800000004e6,75402.26,43232.94,11574.649254434158,32169.319999999992,0.7893051326755106,1.26693715598972
2022-06-27,57777.22166666666,1.3866533199999998e6,72059.75,45841.42,9118.557978186773,26218.33,0.801796032690464,1.2471999850690874
2022-06-28,54529.94958333334,1.3087187900000003e6,66473.82,43113.96,8534.480921970224,23359.860000000008,0.8203221897482849,1.2190332195047036
2022-06-29,55327.61708333334,1.32786281e6,70120.4,41208.18,10697.642074241317,28912.219999999994,0.7890373854589156,1.2673670708497362
2022-06-30,56573.480833333335,1.35776354e6,69679.45,42920.67,9849.154218349619,26758.78,0.8119105537333222,1.2316627680251304
2022-07-01,57546.28166666668,1.3811107600000002e6,70449.6,45232.64,9269.254892160927,25216.960000000006,0.8168432704609632,1.2242250578078182
2022-07-02,58196.928333333344,1.3967262800000003e6,71471.6,44534.62,9821.12864534359,26936.980000000003,0.8142664825375862,1.2280991806068113
2022-07-03,58571.01666666666,1.4057044e6,72423.95,44515.04,10072.357801901573,27908.909999999996,0.8087244159793364,1.236515159232624
2022-07-04,59433.85374999999,1.4264124899999998e6,74183.58,45345.73,10510.130829604283,28837.85,0.80117262809371,1.248170450330255
2022-07-05,62309.33624999999,1.4954240699999998e6,77606.66,47412.86,11106.521634427152,30193.800000000003,0.80288645652319,1.2455061258977864
2022-07-06,62652.36625,1.50365679e6,77204.01,48170.32,10801.544889437691,29033.689999999995,0.8115169956845506,1.232260082435434
2022-07-07,63004.693750000006,1.5121126500000001e6,77326.31,48902.49,10618.999642792367,28423.82,0.8147898658296252,1.2273103065436295
2022-07-08,63783.65166666667,1.5308076400000001e6,78458.91,48689.32,11346.28153983945,29769.590000000004,0.8129561278211317,1.2300786792519536
2022-07-09,62894.94666666666,1.50947872e6,77505.46,47428.36,11095.465922912004,30077.100000000006,0.8114905281081701,1.2323002738322806
2022-07-10,62556.54750000001,1.5013571400000001e6,77389.46,46569.66,11277.409107193884,30819.800000000003,0.8083342033915213,1.2371120704831096
2022-07-11,64670.89000000001,1.55210136e6,78407.05,50467.4,10714.613868712206,27939.65,0.8248096312767794,1.2124009736065176
2022-07-12,64056.898333333345,1.5373655600000003e6,78606.27,49702.2,10766.991912894935,28904.070000000007,0.8149082551981329,1.2271320036595588
2022-07-13,63594.486666666664,1.52626768e6,78502.16,48305.35,11333.371101485578,30196.810000000005,0.8100985586468787,1.23441770057006
2022-07-14,59663.34083333333,1.43192018e6,70313.05,49507.78,7467.531897366799,20805.270000000004,0.848538654393933,1.1784966952557372
2022-07-15,57170.712916666664,1.3720971099999999e6,70168.08,43443.89,10075.86471213027,26724.190000000002,0.8147680956450093,1.2273430996440187
2022-07-16,58765.22958333333,1.4103655099999998e6,73672.38,44251.46,10958.917210483844,29420.920000000006,0.7976561851718829,1.2536729716256323
2022-07-17,60071.39291666667,1.4417134300000002e6,75434.11,44913.27,11158.53294632232,30520.840000000004,0.7963425685895501,1.2557409831439248
2022-07-18,63624.034583333334,1.52697683e6,79197.52,48429.62,11564.46755738944,30767.9,0.8033589256751137,1.2447736224000203
2022-07-19,65348.05916666668,1.5683534200000004e6,79748.25,50811.79,10996.60392387692,28936.46,0.8194293814179833,1.2203614157324307
2022-07-20,65656.00166666666,1.57574404e6,80037.84,51824.87,10557.688110495661,28212.969999999994,0.8203120132510656,1.219048342394492
2022-07-21,63885.95583333332,1.5332629399999997e6,77915.87,51906.89,9381.63993893805,26008.979999999996,0.8199350893897909,1.2196087384724765
2022-07-22,60962.104166666664,1.4630905e6,72506.12,48957.0,8869.186319166767,23549.119999999995,0.8407856352907406,1.1893638021708157
2022-07-23,59970.56499999998,1.4392935599999996e6,74044.86,46215.35,10268.29657104692,27829.510000000002,0.8099220526583476,1.2346867167251139
2022-07-24,61095.122083333314,1.4662829299999995e6,75350.2,46742.05,10376.633288012386,28608.149999999994,0.8108156591931185,1.2333259584492335
2022-07-25,63774.629583333335,1.53059111e6,78826.52,49592.47,10996.706062642212,29234.050000000003,0.8090504259649333,1.236016900686167
2022-07-26,63529.375833333346,1.5247050200000003e6,78622.07,49414.03,10836.693297147156,29208.040000000008,0.8080348918990983,1.2375703203233368
2022-07-27,62994.76125000001,1.5118742700000003e6,76211.22,50180.38,9629.967856308409,26030.840000000004,0.826581194343825,1.2098025056012096
2022-07-28,62560.518749999996,1.50145245e6,76304.83,48914.88,10159.546941960902,27389.950000000004,0.8198762614371855,1.2196962481229427
2022-07-29,62245.415833333325,1.4938899799999997e6,76560.36,48777.48,10105.986662275729,27782.879999999997,0.8130240745123628,1.2299758781433157
2022-07-30,60407.71708333332,1.4497852099999997e6,74139.35,47292.5,9775.041025233815,26846.850000000006,0.8147861706817408,1.2273158725353532
2022-07-31,60444.4575,1.45066698e6,75376.26,46270.82,10522.057969355634,29105.439999999995,0.8019031124653837,1.2470334438852395
2022-08-01,62173.68166666667,1.49216836e6,76143.54,48890.99,10081.998274593258,27252.549999999996,0.8165325865682982,1.224690865312276
2022-08-02,64073.00000000001,1.5377520000000002e6,78465.42,49655.65,10941.212489880318,28809.769999999997,0.8165762701582431,1.224625349211056
2022-08-03,64574.43208333335,1.5497863700000003e6,78221.33,51267.03,10136.021619818825,26954.300000000003,0.8255348264128639,1.2113359339971481
2022-08-04,63977.397916666676,1.5354575500000003e6,78095.12,50695.11,10161.337470641387,27400.009999999995,0.819224017027782,1.2206673378889568
2022-08-05,61608.0075,1.47859218e6,74183.12,49321.56,9039.21251708752,24861.559999999998,0.8304855268961457,1.2041149034076455
2022-08-06,57849.41,1.38838584e6,69747.44,46544.43,8538.597815591627,23203.010000000002,0.8294126637479454,1.2056724519748776
2022-08-07,58910.937916666655,1.4138625099999998e6,73373.11,44997.66,10436.61500191179,28375.449999999997,0.8028954737868772,1.2454921377043942
2022-08-08,61870.01499999999,1.4848803599999999e6,76674.68,47994.64,10577.304838628706,28680.039999999994,0.8069158554036352,1.2392865914126576
2022-08-09,60636.56833333333,1.45527764e6,73872.84,48317.21,9208.142094755842,25555.629999999997,0.8208235710625628,1.2182886009297855
2022-08-10,59151.775833333326,1.4196426199999999e6,75123.19,46623.47,9998.888196489395,28499.72,0.787397018594835,1.2700073487509134
