date,coast_mean,coast_daily,coast_max,coast_min,coast_std,coast_range,coast_load_factor,coast_peak_ratio
2021-06-14,16719.10666666667,401258.56000000006,20484.72,13535.22,2454.280224152627,6949.500000000002,0.8161745274852021,1.2252281421734652
2021-06-15,15847.181250000001,380332.35000000003,20266.32,12594.24,2768.828581662073,7672.08,0.78194666076525,1.2788596079192316
2021-06-16,15556.540000000003,373356.9600000001,20067.04,11237.25,3277.282186942738,8829.79,0.7752284342882658,1.2899423650760387
2021-06-17,16068.193333333335,385636.64,19697.33,12407.28,2696.097584831868,7290.050000000001,0.8157548933451048,1.225858414283456
2021-06-18,15617.294583333336,374815.07000000007,19450.5,11823.76,2762.620472815115,7626.74,0.8029250961843313,1.245446187635945
2021-06-19,15854.957083333333,380518.97,19368.83,12145.24,2620.1776482031323,7223.590000000002,0.818581044045166,1.2216261386390277
2021-06-20,15343.4225,368242.14,17727.47,12226.92,1990.427494098452,5500.550000000001,0.8655167657877858,1.1553791209229884
2021-06-21,16006.550416666667,384157.21,18988.45,13490.09,1870.5295456831823,5498.360000000001,0.842962454369191,1.1862924556329426
2021-06-22,15877.667499999998,381064.01999999996,19841.02,12889.95,2440.0518144342577,6951.07,0.800244518678979,1.249618056304555
2021-06-23,16331.600833333338,391958.4200000001,20266.75,12451.87,2820.4177773590127,7814.879999999999,0.8058322539792191,1.2409530582351054
2021-06-24,16630.352499999997,399128.45999999996,19540.43,13419.26,2295.135074974039,6121.17,0.8510740295889085,1.1749859180675817
2021-06-25,16631.428750000003,399154.29000000004,19995.73,13278.97,2465.0579710412535,6716.76,0.831749015914898,1.202285762730998
2021-06-26,15688.597500000002,376526.34,18191.47,12830.14,1962.2873432547606,5361.330000000002,0.8624150494709883,1.159534496311732
2021-06-27,14861.895416666668,356685.49000000005,17482.39,12056.97,1893.5213672437167,5425.42,0.8501066168107833,1.1763230402223537
2021-06-28,13713.513333333336,329124.32000000007,14842.35,12543.91,725.4285804397566,2298.4400000000005,0.9239448829419422,1.0823156429157224
2021-06-29,13876.5225,333036.54,15741.69,11411.02,1576.9969819392973,4330.67,0.8815141512760065,1.1344117375228557
2021-06-30,15155.911666666667,363741.88,18548.66,11683.25,2495.3824659448355,6865.41,0.8170893027672439,1.2238564335786684
2021-07-01,15581.079999999996,373945.9199999999,18860.67,12025.27,2545.526041638716,6835.399999999998,0.8261148729074841,1.2104854092270885
2021-07-02,15864.742500000002,380753.82000000007,19917.25,12318.53,2700.6851559223937,7598.719999999999,0.7965327793746628,1.255441114156123
2021-07-03,13761.661666666667,330279.88,15609.55,12232.1,1087.5239809636448,3377.449999999999,0.8816180906346863,1.1342779947721913
2021-07-04,13641.073749999998,327385.76999999996,16569.12,11318.64,1912.5841921765395,5250.48,0.8232829353640989,1.2146492500269637
2021-07-05,14069.7675,337674.42,16426.33,11770.24,1670.6650033919718,4656.090000000002,0.8565374919412917,1.167491218316152
2021-07-06,14560.226666666667,349445.44,17757.3,11904.82,2012.8349957658502,5852.48,0.8199572382438022,1.2195757941497247
2021-07-07,14592.400416666664,350217.6099999999,17395.22,12023.57,1921.3877962114402,5371.6500000000015,0.8388741514431357,1.1920739222679297
2021-07-08,14227.37541666667,341457.01000000007,16424.97,12133.09,1392.0106384868934,4291.880000000001,0.8662040427876988,1.154462402163013
2021-07-09,13403.538333333336,321684.92000000004,14368.38,12250.57,681.4767693362171,2117.8099999999995,0.9328496555167205,1.071984101710456
2021-07-10,15419.612083333333,370070.69,18768.04,12230.12,2520.744504908402,6537.92,0.821588833108483,1.2171538362035643
2021-07-11,15283.031250000002,366792.75000000006,18246.08,12248.49,2121.1283123648514,5997.590000000002,0.8376062831030008,1.1938783413794303
2021-07-12,15250.58625,366014.07,19042.2,13064.84,1867.7058766230518,5977.360000000001,0.8008836295175977,1.2486208521983868
2021-07-13,14868.387083333333,356841.29,19146.59,11754.25,2438.0020240307595,7392.34,0.7765553596401935,1.2877381986821088
2021-07-14,14817.079583333332,355609.91,17793.92,11613.72,2208.259208232425,6180.199999999999,0.832704630757772,1.2009060152457505
2021-07-15,15345.577916666663,368293.86999999994,18491.08,12351.14,2165.9092448769175,6139.940000000002,0.8298908401600481,1.204977753227335
2021-07-16,15686.847499999998,376484.33999999997,18114.24,12739.05,2038.352328959861,5375.190000000002,0.8659953439945588,1.154740619490309
2021-07-17,15919.478333333334,382067.48000000004,19554.65,12355.31,2664.3302841405393,7199.340000000002,0.8141019314246654,1.2283474113002237
2021-07-18,15610.062916666668,374641.51,18759.12,12380.47,2229.984378409856,6378.65,0.8321319399133151,1.2017325042278415
2021-07-19,16388.128333333334,393315.08,20450.99,13055.02,2652.208873164547,7395.970000000001,0.8013366753068352,1.2479149286622828
2021-07-20,15470.210000000001,371285.04000000004,18803.27,12584.02,2178.815672170469,6219.25,0.8227404063229428,1.2154502104367038
2021-07-21,15158.17541666667,363796.2100000001,17627.84,12407.55,1908.7914256749618,5220.290000000001,0.8598997617783387,1.1629262437890706
2021-07-22,15676.588333333331,376238.11999999994,19305.94,12101.26,2617.6051128625295,7204.6799999999985,0.8120085493549308,1.2315141272766301
2021-07-23,16866.674583333337,404800.19000000006,20738.7,13027.96,2883.137346686885,7710.740000000002,0.8132946897989428,1.2295666165571708
2021-07-24,16609.510416666668,398628.25,20230.76,13075.62,2647.0196191426126,7155.139999999998,0.8210027906349869,1.2180226564474543
2021-07-25,16212.292083333336,389095.01000000007,20121.85,12312.17,2833.359136996194,7809.6799999999985,0.8057058413283738,1.2411477597720924
2021-07-26,16984.100833333334,407618.42,20836.9,13312.97,2813.092944281169,7523.930000000002,0.8150972953430372,1.2268474030197163
2021-07-27,16686.965833333332,400487.18,20318.37,13632.99,2421.3714245496008,6685.379999999999,0.8212748283121792,1.2176192006945141
2021-07-28,16607.592083333333,398582.20999999996,20845.42,12433.13,3109.2415531485976,8412.289999999999,0.796702205248603,1.255174133336257
2021-07-29,17191.229583333334,412589.51,20900.11,13774.8,2583.5046812193755,7125.310000000001,0.8225425408446814,1.2157425912258408
2021-07-30,16468.760416666668,395250.25000000006,20543.85,13450.48,2433.65347417431,7093.369999999999,0.8016394403515733,1.2474436132551463
2021-07-31,16129.8175,387115.62,19444.81,12771.27,2541.071154348702,6673.540000000001,0.8295178764924933,1.2055195292817171
2021-08-01,16261.805,390283.32,19393.96,12882.48,2416.2382755432045,6511.48,0.8384984294079189,1.1926080776395978
2021-08-02,16742.975833333334,401831.42000000004,19939.14,13634.37,2332.519051941236,6304.769999999999,0.8397040109720547,1.1908958239253664
2021-08-03,15806.787083333336,379362.8900000001,19083.68,13063.95,2121.043558914541,6019.73,0.8282882066421852,1.2073092336469704
2021-08-04,15462.02375,371088.57,18128.91,12767.52,1898.862910549163,5361.389999999999,0.8528931827671934,1.1724797667575695
2021-08-05,15113.988333333335,362735.72000000003,17271.3,12907.18,1546.3575114995283,4364.119999999999,0.8750926874834746,1.1427360944767169
2021-08-06,15104.117083333338,362498.8100000001,18723.85,12011.27,2259.1141841948256,6712.579999999998,0.8066779579698267,1.2396520694785174
2021-08-07,15878.22375,381077.37,19248.05,12329.37,2697.023436702045,6918.6799999999985,0.8249263561763399,1.2122294220724783
2021-08-08,16355.087916666664,392522.1099999999,19507.11,12892.57,2470.136743843704,6614.540000000001,0.8384167576164108,1.1927242518899128
2021-08-09,17366.799583333337,416803.19000000006,21062.12,13842.89,2670.0504581984787,7219.23,0.8245513549126744,1.2127807371147996
2021-08-10,17306.655416666665,415359.73,21136.54,13904.99,2603.107599992545,7231.550000000001,0.8188026714243043,1.221295478018536
2021-08-11,16686.901666666665,400485.63999999996,20433.17,13610.86,2284.476964866531,6822.309999999998,0.8166575067239525,1.2245035302639067
2021-08-12,16651.340000000004,399632.1600000001,20459.85,13270.01,2562.84869244125,7189.839999999998,0.8138544515233497,1.2287209317688543
2021-08-13,15835.772916666669,380058.55000000005,18490.76,13069.79,1917.3452500663498,5420.9699999999975,0.8564154700329608,1.1676575622361343
2021-08-14,15758.377083333331,378201.04999999993,19101.13,12447.19,2504.918967604548,6653.9400000000005,0.8249971118637133,1.2121254554951661
2021-08-15,14983.655833333336,359607.74000000005,18989.23,12187.94,2282.7450491190507,6801.289999999999,0.7890607377620544,1.2673295630399943
2021-08-16,15219.856249999999,365276.55,19456.9,11926.49,2550.4278213524894,7530.410000000002,0.7822343872867722,1.2783892094907272
2021-08-17,15753.224999999999,378077.39999999997,19343.09,11947.94,2769.9031811944806,7395.15,0.8144109860420439,1.2278812751039867
2021-08-18,15457.475000000006,370979.40000000014,18202.79,12961.27,1704.5341319959332,5241.52,0.8491816364414468,1.1776043629376722
2021-08-19,16933.027083333338,406392.6500000001,20576.04,13335.7,2689.544165395479,7240.34,0.8229487833097786,1.21514244905758
2021-08-20,16891.636666666665,405399.27999999997,20596.74,13513.0,2557.782513108243,7083.740000000002,0.8201121471974042,1.219345431496573
2021-08-21,16526.405416666665,396633.73,20423.93,12903.64,2803.491932318288,7520.290000000001,0.8091687259340716,1.2358361957768949
2021-08-22,16352.895416666666,392469.49,20359.17,12373.65,2975.645632923878,7985.519999999999,0.8032201419147572,1.2449886996311483
2021-08-23,16923.57958333333,406165.9099999999,21030.75,12979.12,2987.1928110511158,8051.629999999999,0.8047064219456429,1.242689225198639
2021-08-24,17196.502916666668,412716.07,21071.43,13446.06,2815.8052108464913,7625.370000000001,0.8161051678346779,1.2253322726202542
2021-08-25,16966.935833333333,407206.45999999996,20441.38,13506.14,2585.97635606212,6935.240000000002,0.8300288842207978,1.2047773505361383
2021-08-26,16326.502083333333,391836.05,19754.62,13350.15,2210.6295077174564,6404.469999999999,0.826465003292057,1.2099725893010609
2021-08-27,15711.166666666666,377068.0,19151.1,12948.21,2097.4346941933127,6202.889999999999,0.8203793341722756,1.2189483064062716
2021-08-28,15032.904583333331,360789.70999999996,17762.63,12461.47,1909.301230712383,5301.160000000002,0.8463220020533744,1.1815833661109683
2021-08-29,15547.369583333331,373136.86999999994,19062.15,12090.0,2719.448168695546,6972.1500000000015,0.8156146910675517,1.22606913650747
2021-08-30,16877.73125,405065.55000000005,21145.69,13080.84,2971.5335090214785,8064.8499999999985,0.7981641294277937,1.2528751457634448
2021-08-31,17220.92375,413302.17000000004,21157.76,13746.95,2677.940817597523,7410.809999999998,0.8139294400730513,1.2286077278519973
2021-09-01,16583.14083333333,397995.37999999995,19989.46,13553.76,2182.83254316778,6435.699999999999,0.829594237830003,1.2054085652954063
2021-09-02,16302.227916666663,391253.4699999999,19709.64,13503.7,2061.0101560684293,6205.939999999999,0.8271195169808613,1.2090151174889263
2021-09-03,15768.331666666665,378439.95999999996,19232.84,13112.65,2001.279094702374,6120.1900000000005,0.8198649636073854,1.219713055672028
